Matt Galvan,0,6,0,1,0,8,0.125,0.125
Christopher Walken,0,5,0,1,0,8,0.125,0.125
Shoeless Joe Jackson,0,4,1,1,0,8,0.250,0.250
Homer Simpson,0,5,1,1,0,8,0.250,0.250
David Tennant,0,5,0,0,0,8,0.000,0.000
Cosmo Kramer,0,5,0,0,0,7,0.000,0.000
Darth Vader,0,6,0,0,0,7,0.000,0.000
Emmett Brown,0,2,2,1,0,6,0.500,0.500
Peter Venkman,0,4,1,0,0,6,0.167,0.167
Vince Spina,0,8,0,0,0,8,0.000,0.000
Uncle Fester,0,7,0,0,1,8,0.125,0.125
Patrick Stewart,0,3,1,0,1,8,0.250,0.250
Bruce Campbell,0,3,0,0,0,8,0.000,0.000
Jon Snow,1,3,0,0,0,7,0.143,0.143
Scooby Doo,0,2,1,0,0,6,0.167,0.167
Harry Caray,1,4,0,0,0,6,0.167,0.167
Kylo Ren,1,2,0,1,0,6,0.333,0.333
Harrison Ford,0,4,0,0,0,6,0.000,0.000
,2,0,0,7,0.285714,0.285714
Harrison Ford,0,2,2,0,2,7,0.571429,0.571429
